KO	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
K02289	0	0	0	0	0	0	0	0	0	0	237	1	0	0	0	0	0	0	1	0	1	0	0	0
K02290	0	0	0	3	0	0	0	5	0	0	496	0	0	0	0	0	0	0	22	0	9	0	10	3
K02291	1649	1504	839	1487	889	1093	1101	1054	759	1870	2683	3870	1101	803	871	8375	6399	3707	3163	1274	1457	1261	3710	1866
K02292	0	0	0	0	0	0	0	0	0	0	401	0	0	0	0	0	0	0	4	5	0	0	0	2
K02293	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	7	2	5	0	0	0
K02294	19	30	33	22	6	36	27	24	5	5	320	21	46	16	4	62	88	48	6	59	39	42	112	26
K02297	239	238	134	128	40	126	150	100	52	16	18	47	117	92	170	34	144	53	163	137	64	75	685	230
K02298	191	106	21	80	25	72	98	93	24	15	0	5	216	100	112	1	13	5	181	91	47	37	508	128
K02299	168	156	104	89	35	76	88	80	25	13	24	44	86	70	124	22	88	39	142	113	63	51	453	166
K02300	128	162	126	75	31	68	68	64	20	12	8	39	92	81	111	16	53	37	103	81	43	46	325	118
K02302	590	536	256	395	283	235	329	294	138	722	367	866	455	368	172	1154	2012	1307	780	115	80	403	1248	663
K02303	1159	1082	865	949	594	1115	798	819	826	1521	1677	2168	734	431	600	3369	3701	1872	1633	808	838	809	2783	1385
K02304	698	1147	963	1128	685	1180	765	985	818	1530	1717	2073	702	770	647	3562	1010	1123	1187	807	1133	969	1600	774
K02305	163	37	14	41	7	30	29	24	16	56	72	106	1	0	0	337	429	210	46	27	15	13	152	57
K02313	7462	7266	4661	5953	3250	6480	4538	4960	3780	8983	10863	13697	4450	3819	3633	24879	17562	10845	8333	5840	5747	5153	13665	7026
K02314	9553	8981	5789	7526	4089	8406	6204	6349	5033	12261	14002	16334	4951	4174	3964	31383	23758	15710	10383	7540	6885	6980	17672	9292
K02315	275	581	349	684	223	869	500	682	706	1119	691	893	415	492	462	4835	1045	1022	782	1040	989	541	950	500
K02316	6068	5839	3655	5010	2675	5707	4100	4326	3122	10259	13031	15359	3356	2835	2542	27081	22193	13903	7649	5185	4880	4139	13123	6703
K02319	18	165	487	54	22	183	159	272	274	487	352	77	0	0	0	1340	4	273	153	486	767	186	112	56
K02322	2	10	6	13	17	32	132	85	681	859	380	93	0	0	0	2064	11	400	29	417	763	58	46	6
K02323	13	166	349	58	100	244	97	155	521	306	273	43	0	0	0	814	0	168	53	270	401	120	61	58
K02334	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	308	0
K02335	3925	3622	2114	3617	1893	3316	3135	2911	2086	9009	8765	10675	2614	2520	2305	27643	11680	8565	6384	4021	4577	3190	7117	3724
K02337	1942	1812	1087	2372	1295	2098	1345	1413	932	6172	6548	9109	2460	2443	2188	19709	7636	5588	5514	2062	2021	1591	3054	1421
K02338	5907	5609	3347	4982	2856	5192	3816	3861	3073	7586	9234	9982	3784	3193	2913	20780	14153	9016	6809	4527	4462	4207	11408	5905
K02339	295	219	144	160	63	114	129	103	72	160	206	227	123	47	103	488	565	213	188	112	89	87	443	181
K02340	2203	1746	977	1735	821	1742	1187	1304	1113	3280	4120	4885	1385	1285	1132	11520	6761	4231	2595	1929	2030	1420	4695	2177
K02341	1269	1086	397	732	457	818	636	579	279	1546	1854	2706	391	393	429	4583	5051	3261	1560	707	458	617	2666	1634
K02342	3759	2939	1465	2459	1003	2437	2291	2183	1616	5043	4920	8071	1732	1207	1085	16369	13144	7886	3667	2390	2559	2374	7395	3677
K02343	5601	5558	3247	4653	2522	5084	3591	3882	3006	7394	8509	9337	3607	3117	2828	19545	13019	8112	6589	4835	4594	4042	10399	5424
K02346	3698	2734	1381	2500	1116	1739	1999	1820	926	5189	5005	8602	2035	1636	1227	10081	11021	6499	4002	1452	1262	2071	6879	3769
K02347	706	1503	1446	1569	923	1518	1474	1904	1707	4391	3316	2414	1566	1564	1560	14537	2119	2288	2678	2325	3338	1994	2178	1198
K02348	604	437	278	438	251	383	414	300	260	697	602	1126	265	171	124	1609	2712	1585	796	232	167	292	1289	529
K02351	2507	1928	1089	1625	1165	1566	1233	1304	645	3991	3303	5019	1924	1832	1445	11048	8426	5114	3494	1477	1291	1431	4348	2361
K02352	28	43	26	20	6	28	39	30	6	3	0	5	0	0	0	1	1	7	34	69	44	21	66	45
K02355	8176	7331	4487	7162	4537	7469	5644	6026	4331	14554	15948	18590	5293	3999	4850	42414	20810	14851	11763	7409	7634	6078	14651	7927
K02356	3929	4414	2622	3404	2004	3955	2642	2690	2314	4704	5463	6078	2187	1847	1703	10633	8034	5127	4122	3188	2940	2979	7550	3954
K02357	4634	4116	2513	3521	1974	3792	2662	2764	2191	4987	6003	7262	2395	1941	1980	12466	10365	6202	4475	3044	2973	2974	8541	4279
K02358	12719	13184	8563	10465	6956	12093	8300	9172	8727	15031	17025	16289	8111	6359	7605	32893	20195	14531	12883	10727	9963	8952	21267	11578
K02359	62	260	376	100	140	238	98	174	370	275	144	55	0	0	1	726	275	296	130	305	364	151	380	264
K02361	23	0	1	0	2	0	0	0	0	39	0	0	157	145	56	2	0	2	0	0	0	0	0	0
K02362	31	39	64	24	132	144	29	38	22	59	61	76	326	219	189	246	165	74	496	76	73	65	37	22
K02363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0
K02371	93	93	80	66	21	36	34	36	18	78	168	132	13	18	17	555	498	252	41	26	30	50	243	69
K02372	957	920	560	764	440	1077	807	675	717	1520	1737	1519	556	263	567	5139	1763	1200	985	968	1014	673	1549	849
K02377	281	613	487	706	292	765	298	572	341	1031	1107	691	506	274	612	2623	912	716	552	683	545	492	1283	633
K02379	2304	2433	1544	1996	1038	1708	1627	1699	1148	3243	3131	4437	1444	1319	1531	8076	5666	3895	2958	1990	2157	1898	4916	2537
K02380	107	101	98	37	22	254	48	67	75	84	62	92	37	22	293	1403	230	211	129	118	71	55	188	40
K02381	688	708	251	371	118	273	484	361	364	1509	435	605	308	35	169	1428	1571	888	858	433	410	509	1512	954
K02383	0	0	0	0	0	0	0	0	0	0	0	0	16	3	0	0	0	0	0	0	0	0	0	0
K02385	583	547	298	498	188	351	399	304	238	517	538	971	164	170	89	1012	1815	916	425	261	215	390	1473	677
K02386	55	57	37	27	13	23	21	21	10	54	121	35	124	85	117	193	113	36	148	66	17	9	271	42
K02387	832	781	467	571	222	546	526	477	236	626	700	1159	278	223	119	1240	2274	1099	655	281	208	443	1956	880
K02388	1133	1062	674	850	396	821	702	630	349	866	1029	1353	425	324	297	1802	2732	1517	921	440	343	652	2338	1109
K02389	908	855	425	648	327	559	553	434	289	692	769	1224	360	311	269	1690	2631	1418	643	305	233	410	2212	951
K02390	1642	1586	768	1239	355	1020	1120	833	578	1415	1373	2304	415	334	194	3293	5244	2712	1490	659	416	948	4247	1924
K02391	80	95	117	64	87	121	30	47	27	103	159	155	98	57	71	127	66	76	204	52	29	62	143	39
K02392	278	98	48	79	54	103	80	39	54	149	173	188	106	99	128	545	445	218	237	61	74	53	416	115
K02393	296	166	159	132	83	165	132	120	142	164	232	162	254	158	308	465	472	212	195	86	86	104	530	164
K02394	411	362	305	222	185	354	208	174	203	280	325	334	687	391	613	948	766	430	431	260	190	188	895	299
K02395	223	211	157	152	113	291	133	150	71	247	169	170	420	376	205	647	378	176	312	96	63	164	430	184
K02396	2115	1993	1270	1580	790	1513	1293	1206	598	1988	2164	3206	883	701	630	4260	6747	3653	1811	837	558	1496	5503	2473
K02397	555	680	493	499	260	401	416	384	158	749	593	913	260	159	100	1895	2580	1463	578	193	104	481	1814	957
K02398	13	38	46	20	10	39	7	13	2	15	35	6	70	33	32	130	49	50	95	5	4	6	46	12
K02399	244	272	151	248	59	153	176	187	100	140	288	364	89	51	12	470	548	318	273	140	93	203	865	402
K02400	732	568	306	543	200	484	743	445	236	1282	900	1587	322	158	263	2788	3886	2274	865	381	249	432	2490	917
K02401	750	492	288	448	172	480	497	344	140	640	757	1081	260	168	241	1636	2541	1441	466	206	105	409	2024	899
K02402	24	21	11	14	4	18	4	4	1	0	3	5	12	21	24	11	12	8	3	7	0	2	26	21
K02403	16	8	1	1	6	6	7	3	1	0	4	1	7	12	13	11	2	2	3	2	1	5	27	21
K02404	41	20	21	27	16	38	25	14	25	104	85	71	92	56	65	357	68	37	16	15	18	19	79	18
K02405	3347	4407	3057	3716	2076	3689	2855	2684	2115	4599	6252	9373	1778	1764	1485	10285	8976	5350	4358	3137	2906	3419	7713	4247
K02406	3453	4459	3445	4086	2359	4314	2727	2652	1747	3507	3935	4845	1489	1472	945	5932	7931	4560	3843	2309	1942	2886	7657	3884
K02407	1166	1369	769	989	463	885	896	782	221	1383	1421	2094	574	355	278	3411	4901	2648	1202	448	280	896	3731	1673
K02408	694	684	391	502	245	461	457	392	226	632	648	1003	257	220	179	1289	1932	1015	532	289	234	423	1515	751
K02409	2609	2429	1499	2144	826	1749	1863	1410	760	2123	2314	3684	1095	771	773	4635	7868	4121	2269	1021	748	1665	6487	2940
K02410	3435	3237	1910	2698	1393	2592	2134	1749	1144	2509	3035	4032	1630	1302	1203	4920	7596	4260	2619	1370	966	1914	7087	3277
K02411	231	264	133	240	123	231	228	147	76	371	350	613	194	154	135	861	1496	785	294	61	78	184	900	416
K02412	190	209	118	225	177	315	148	128	88	199	278	379	177	110	163	1155	937	576	448	88	60	139	784	306
K02413	491	370	190	348	208	409	353	216	213	417	384	683	239	148	234	983	1528	793	452	201	121	245	1236	554
K02414	304	368	163	255	149	234	250	198	61	235	438	708	243	149	196	619	1487	673	256	93	76	209	1124	416
K02415	669	640	343	475	230	427	418	351	190	609	637	1125	273	192	174	1410	2333	1271	605	191	147	396	1654	754
K02416	2204	2032	1244	1542	740	1383	1246	1109	673	1670	1977	2562	1029	883	1003	3509	5607	2857	1663	896	574	1147	4732	2173
K02417	1157	1134	667	1026	632	985	796	684	515	1072	1107	1525	813	540	457	1877	3263	1716	1097	480	402	792	2892	1321
K02418	954	659	429	609	288	652	468	377	243	665	675	933	394	255	245	1393	2226	1115	598	283	223	417	1799	886
K02419	1495	1480	890	1183	621	1116	816	771	460	1268	1314	1948	656	551	475	2577	3852	2104	1186	564	357	901	3118	1468
K02420	786	754	511	657	253	620	496	422	276	594	782	951	261	223	198	1141	1736	990	639	389	269	449	1628	804
K02421	1001	890	548	723	317	798	652	514	385	826	981	1522	342	260	189	1994	3298	1754	887	310	200	473	2292	1038
K02422	664	627	387	535	240	451	431	358	176	628	660	882	199	159	93	1148	1791	1052	524	247	168	417	1578	753
K02423	3	18	46	11	30	36	11	11	4	21	24	3	31	19	34	100	3	29	58	12	13	19	46	24
K02424	650	534	153	438	46	243	245	153	49	101	283	482	34	50	29	445	1518	615	117	45	44	288	1687	1008
K02426	493	436	328	299	156	306	254	283	166	749	1042	1126	421	292	266	2333	1093	727	574	333	233	357	944	477
K02427	381	192	63	171	50	114	148	133	220	314	482	283	88	81	84	903	538	327	228	143	183	128	591	198
K02428	1692	1298	666	1107	696	1214	843	825	579	1908	2684	3450	828	862	741	6495	4984	2988	1606	1034	881	949	3097	1569
K02429	335	651	486	395	341	405	382	546	108	459	535	349	290	194	258	1918	1651	731	1098	252	229	504	1530	678
K02431	203	128	74	109	38	81	94	97	59	254	274	244	42	68	38	507	301	153	196	104	42	85	323	179
K02433	2220	1927	1329	2104	1305	2359	1992	1966	1959	6307	4987	6335	1692	832	1500	18066	8607	5730	5055	3339	3697	1962	4382	2439
K02434	3468	3080	1928	2856	1555	3099	2304	2283	1845	5625	5648	7280	2218	2059	1878	15913	8560	5902	4492	3084	3370	2464	6068	3546
K02435	1243	1166	748	1061	554	912	790	800	667	1779	1952	2340	679	492	574	4731	3286	2100	1434	946	967	756	2443	1326
K02437	1662	1900	1265	1713	993	1884	1271	1366	1286	2679	3190	3461	1058	943	882	7116	4486	3051	2176	1652	1830	1400	3476	1839
K02440	299	432	154	340	88	219	446	433	226	564	429	521	64	80	60	2266	1579	1004	886	519	654	371	1311	515
K02443	2	19	13	23	4	14	93	103	46	145	88	74	0	0	0	541	58	158	57	122	217	73	52	12
K02444	72	78	23	78	37	62	40	51	36	35	62	114	153	100	154	154	118	69	73	52	51	39	217	57
K02445	1	1	0	1	1	1	1	0	4	1	2	0	0	1	1	153	99	39	0	1	0	0	0	0
K02446	1298	1143	600	1028	644	891	739	640	369	2080	1865	3421	1131	915	502	4193	4539	2763	2180	646	613	849	2997	1537
K02448	392	413	158	244	145	1201	266	405	336	225	402	392	165	123	607	1533	760	496	551	1015	475	268	730	514
K02450	22	131	84	65	52	339	128	193	160	35	170	58	167	26	343	1229	101	99	115	351	205	85	240	123
K02451	0	1	1	2	5	0	0	0	0	0	0	0	114	6	2	0	0	0	0	0	0	0	11	6
K02452	52	12	7	8	3	7	7	8	1	5	99	24	35	26	127	85	185	46	22	3	1	8	139	20
K02453	31	41	72	631	55	58	200	53	28	644	88	323	504	68	483	1062	508	131	31	22	14	42	160	87
K02454	24	87	141	422	45	206	37	66	18	447	172	118	346	33	244	175	215	33	31	78	49	50	219	81
K02455	3	7	8	4	2	6	1	1	1	1	76	19	4	5	46	18	130	24	1	1	0	2	38	3
K02456	148	130	101	399	73	336	147	218	210	454	222	160	142	64	168	954	323	184	145	230	134	113	370	170
K02457	68	9	12	1	0	1	4	1	36	17	28	19	0	0	29	63	66	24	0	4	2	1	78	16
K02458	28	15	29	11	7	14	15	20	14	68	180	121	20	10	64	454	76	51	19	6	3	9	128	45
K02459	62	46	55	28	7	54	29	46	9	175	217	175	19	26	73	586	271	155	45	100	21	22	100	66
K02460	112	25	19	11	8	38	13	10	33	47	188	206	63	54	120	873	383	162	76	70	51	17	173	32
K02461	0	0	0	2	0	0	4	1	31	18	78	47	0	1	0	234	95	24	30	1	0	0	117	2
K02462	28	22	22	11	6	8	10	18	4	14	47	69	25	32	34	398	148	83	22	7	1	9	101	19
K02463	24	8	0	3	19	32	5	1	0	0	95	13	3	5	5	40	93	15	6	5	0	8	60	29
K02466	0	2	4	1	0	0	6	11	17	74	56	60	0	0	0	376	102	65	12	41	71	7	4	2
K02469	1239	1617	1024	1895	1150	1573	1348	1681	1031	6403	6034	7090	2007	1684	1351	16653	6320	5018	3933	2122	1857	1608	3703	2058
K02470	795	1059	652	1476	662	1444	859	1025	707	3794	3608	4523	1418	1206	1380	12370	4310	3756	2275	1564	1389	852	2121	1104
K02471	1314	511	357	560	355	432	420	396	138	310	895	329	561	296	294	1155	845	552	1077	485	350	327	1949	757
K02472	16	6	1	1	4	62	6	3	24	140	112	149	3	2	37	175	54	43	36	4	4	5	96	5
K02473	12	10	6	8	8	3	40	62	8	13	145	75	2	4	2	191	230	83	65	85	183	55	52	24
K02474	179	129	56	55	52	60	118	151	63	131	222	122	75	89	116	782	600	237	151	272	300	125	447	103
K02476	704	753	345	551	139	182	799	523	184	946	591	1428	0	4	8	1487	1500	826	689	374	292	606	2039	820
K02477	763	668	416	666	378	1886	558	551	584	2013	1237	1486	453	139	638	7491	3666	2091	702	793	320	497	1081	639
K02478	1132	1222	681	958	546	2855	694	901	701	2105	1478	1700	626	281	809	7582	4695	2806	1595	1172	478	875	1760	992
K02480	986	905	331	780	339	580	1142	888	819	2572	2466	4107	365	384	174	20530	5242	3628	2369	2042	2993	923	2274	1148
K02481	31	149	6	13	4	19	11	13	11	3	79	5	2	8	5	92	10	4	2	6	4	4	157	25
K02482	604	1110	378	527	348	2769	685	1100	1091	1220	33864	636	409	271	1382	10198	1850	1283	1347	2898	1719	716	1795	790
K02483	6121	8055	5473	6817	3947	7671	5815	6632	5227	12223	13794	15871	6454	6058	4620	39756	19831	13970	11506	8398	9120	7202	15127	8188
K02484	1868	2113	984	1536	923	1146	1490	1456	1019	3557	3976	6777	2257	1924	1949	13067	8577	6511	5116	1697	1833	1735	5103	2904
K02488	603	905	394	2104	433	1830	800	1176	685	2254	4756	3199	627	384	852	8359	3279	2135	1489	1798	1095	615	1448	811
K02492	3921	4491	2910	3707	2360	4082	2978	3237	2593	6166	6746	7771	3088	2715	2354	17700	10134	6951	5156	3612	3748	3674	8777	4867
K02493	1198	1107	500	1014	450	897	844	1010	493	2808	2435	3194	978	925	801	7708	4774	2809	2214	1274	1381	943	3242	1549
K02494	0	0	0	2	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	22	13
K02495	1736	1102	490	1111	690	1197	908	972	396	2641	2378	2434	918	472	1015	8589	5047	3255	1984	1164	934	846	2857	1533
K02496	7	5	2	1	3	6	5	2	1	0	1	0	23	11	20	24	2	1	2	0	2	6	43	19
K02497	11	90	12	17	16	81	25	17	76	14	7	0	0	1	58	5	0	2	89	128	19	28	51	68
K02498	620	217	125	245	54	137	155	151	163	303	364	291	195	115	212	832	658	315	343	199	143	121	807	306
K02499	9	16	18	207	14	149	35	11	27	560	914	1603	8	3	6	1725	375	241	198	72	69	13	16	9
K02500	2306	2245	1554	1884	1132	1974	1719	1642	1485	3247	3797	3942	1430	1368	1295	9239	6261	3920	2670	1750	1847	1674	4822	2508
K02501	1336	1145	654	1010	515	1013	769	876	634	2152	2369	3049	877	770	614	6295	3960	2444	1687	908	975	776	2502	1399
K02502	221	262	144	296	146	316	411	407	336	849	870	713	305	496	255	3887	901	856	738	518	942	327	776	295
K02503	1634	1583	1065	1231	626	1294	1092	1232	1088	2799	3105	3900	1030	674	911	7791	4855	2992	1988	1457	1627	1226	3324	1679
K02509	90	59	28	21	7	18	18	18	7	22	43	66	202	118	123	25	139	99	17	17	8	18	114	56
K02510	2107	2083	1575	1612	562	1511	1816	1782	1060	1927	2080	2375	1152	1023	1116	8203	3704	2334	3119	2098	1962	1413	4365	2598
K02517	292	220	136	526	141	559	238	217	191	327	366	264	345	68	276	1742	452	249	430	371	246	112	424	179
K02518	1970	2113	1365	1783	1078	2144	1375	1481	1289	2134	2828	2974	1288	1145	1080	5497	4041	2523	2344	1665	1537	1450	3554	1939
K02519	10348	9902	6386	8667	5040	8945	6694	6481	5608	12529	14165	16115	6127	5549	5065	30083	21582	13490	10849	7410	7143	7090	19001	9650
K02520	3834	4125	2774	3323	2063	3906	2617	2645	2214	4489	5316	5704	2460	1956	2024	9999	7689	4833	3879	2922	2807	2860	7169	3883
K02521	1	0	1	1	1	2	3	0	2	3	0	0	2	17	9	73	2	0	0	2	0	0	9	2
K02523	487	431	220	524	300	694	418	340	334	493	563	480	397	159	490	2018	1087	549	465	528	244	221	1025	397
K02526	607	604	273	577	138	342	523	463	243	140	131	248	63	46	23	333	698	387	354	281	212	357	1458	574
K02527	600	512	264	660	195	1046	410	430	311	655	619	559	479	212	600	2704	993	435	552	615	402	283	1059	559
K02528	1591	1249	709	1157	582	946	1006	933	710	2465	2539	3566	1069	895	779	8065	5343	3191	1877	1193	1177	958	3231	1712
K02529	5349	6153	2342	4524	1183	2681	4078	3498	1200	6951	4506	6452	3803	3553	2002	21774	16741	9479	10710	2616	2202	5138	17892	10512
K02533	527	365	225	416	107	166	352	174	91	585	780	486	327	124	314	1216	791	452	449	277	169	164	760	338
K02535	274	157	99	312	57	437	159	154	175	364	505	114	300	92	350	1120	267	240	259	369	197	98	407	183
K02536	696	567	378	519	279	1315	466	637	678	840	1020	452	464	188	765	3253	842	603	662	974	722	376	967	582
K02548	1549	1577	936	1506	754	1291	1001	1062	846	3149	3247	4486	1082	1147	814	10261	6177	3877	2451	1013	1008	1225	3493	1876
K02549	1200	1060	509	810	405	1003	846	845	469	1919	2093	3505	786	456	834	6708	5168	3093	1754	964	921	813	3064	1663
K02551	904	722	338	493	359	368	460	504	215	2085	1785	2755	586	818	568	5308	3154	2175	1457	313	520	559	1281	730
K02552	1153	880	447	535	327	525	646	593	282	1859	2083	3077	661	878	529	6126	4726	3053	1612	528	674	607	2422	1248
K02553	365	262	72	287	48	151	293	171	152	318	373	597	117	61	28	983	879	438	226	147	194	239	1321	533
K02554	202	97	78	84	40	139	62	36	29	125	56	249	265	160	126	197	956	546	62	25	59	47	191	118
K02556	2299	2165	1477	1826	892	1816	1395	1250	663	1731	1949	2866	1080	925	722	3411	5136	2749	1872	960	752	1396	5088	2398
K02557	1774	1348	827	999	451	934	931	736	375	1084	1138	1816	625	417	451	3262	4043	1953	1164	669	425	847	3407	1649
K02558	85	160	109	423	89	693	83	140	164	467	201	196	280	42	422	1893	170	152	211	408	123	84	268	157
K02563	2178	1826	853	1664	782	1648	1381	1361	1038	3510	3429	4371	1507	1212	1081	10743	6668	3993	2760	1763	1597	1516	4537	2245
K02564	926	720	258	775	165	525	396	424	402	1025	945	1243	67	86	139	4592	2179	1170	524	305	361	483	1705	951
K02566	1289	1305	588	957	345	766	862	767	497	1355	1000	1765	431	380	265	3328	3380	1903	911	729	610	957	3087	1601
K02567	168	25	8	37	4	23	47	75	26	47	12	29	1	1	3	190	142	67	86	87	74	23	130	85
K02568	142	57	33	39	7	40	56	50	28	47	29	55	0	1	0	153	179	125	56	42	39	22	169	65
K02569	191	49	28	47	12	20	39	39	24	65	57	54	3	0	0	144	177	115	58	22	21	34	157	55
K02570	70	41	23	26	3	10	30	20	9	16	19	16	0	0	0	60	100	49	13	13	19	8	64	21
K02571	33	15	16	13	1	10	22	12	5	14	3	8	0	0	0	41	39	10	13	15	18	6	30	15
K02572	1	0	3	0	0	0	4	4	0	0	8	2	0	0	0	32	45	12	11	13	17	3	0	0
K02573	13	25	12	15	13	26	33	10	6	7	38	2	13	5	8	51	4	6	10	13	7	8	28	16
K02574	33	0	0	3	0	0	0	0	2	0	1	0	0	0	0	177	24	47	1	0	0	1	1	0
K02575	1934	1540	684	1296	467	758	1157	1007	564	1965	3704	5877	1005	459	315	10223	13285	8399	1398	608	588	1117	5310	2527
K02584	15	134	23	1301	43	425	109	63	55	1268	14	1	1	8	348	184	13	30	41	494	211	53	119	84
K02593	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	8	1	0	0	0	0	0	0
K02598	63	66	54	48	11	23	140	123	19	44	87	135	12	3	1	109	81	51	108	85	47	55	160	69
K02600	8772	9308	6686	7976	5083	9815	6235	6635	5970	10328	12631	12545	5536	4932	5203	24072	15949	10735	9337	8001	7513	6923	15675	8720
K02601	4139	4555	2910	3838	2212	4199	2879	2909	2714	5170	6243	6362	2522	2253	2196	10967	8333	5341	4498	3333	3261	3213	7745	4279
K02606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
K02609	3958	4152	2618	3083	1520	2600	2525	2366	1537	4062	4613	6190	1713	1638	1357	8580	8482	5157	4099	3327	3355	2873	6979	3946
K02610	1093	947	527	752	353	605	536	491	340	1045	1080	1452	447	388	257	2185	2511	1481	897	647	551	604	1891	1045
K02611	1696	1317	675	1042	478	782	849	751	382	1912	1922	2753	647	545	415	4352	4892	3008	1429	935	816	938	3045	1724
K02612	1047	794	401	600	245	395	475	495	253	1238	1127	1656	323	273	264	2843	3131	1759	864	586	560	616	1726	981
K02613	1282	953	416	656	157	319	508	439	199	1257	772	1385	216	286	126	2385	3774	2133	917	296	210	670	2110	1155
K02614	762	685	343	575	170	498	547	530	441	1144	665	1029	287	218	168	2788	1952	1184	697	644	734	558	1447	770
K02616	982	833	519	612	531	656	552	394	134	1862	704	1452	1358	1183	821	1974	2032	1248	2120	276	230	604	1588	795
K02617	35	31	7	26	5	14	6	6	6	10	23	14	4	5	1	205	81	31	6	8	2	15	26	18
K02618	551	219	118	266	128	180	303	164	98	447	443	652	121	258	122	1197	1996	1200	650	181	139	156	925	346
K02619	31	48	6	29	1	10	12	29	0	4	69	38	52	26	2	2	1	2	1	18	45	21	81	52
K02621	103	59	45	586	46	51	261	96	15	610	155	31	410	29	260	367	23	55	282	180	121	46	171	56
K02622	294	126	149	517	75	117	279	118	48	442	51	22	364	27	245	237	37	34	192	194	150	70	278	194
K02623	2	3	4	4	1	5	4	0	1	6	1	1	1	0	0	23	25	7	4	3	0	4	7	8
K02624	980	842	421	656	294	422	526	470	159	1107	636	709	765	705	711	921	1833	1135	1246	217	143	608	1766	1055
K02626	87	148	198	150	102	219	70	128	251	309	241	152	14	28	65	657	507	327	118	164	197	108	298	128
K02634	1	0	0	0	0	0	0	0	0	0	373	1	0	0	0	0	0	0	3	2	0	0	0	0
K02635	0	0	0	0	0	0	0	1	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0
K02636	33	109	54	176	71	432	97	277	153	642	1279	1258	6	11	38	1449	348	366	266	488	350	146	239	123
K02637	0	0	0	0	0	0	0	0	0	0	232	5	0	0	0	0	0	0	1	0	0	0	0	0
K02638	475	330	409	352	184	599	494	448	475	1164	942	1046	91	26	45	4135	967	899	514	662	970	361	571	282
K02639	4	21	15	33	4	8	70	68	93	171	912	138	0	0	0	423	42	100	103	152	235	59	78	34
K02640	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	2	0	2	1
K02641	0	0	0	1	0	0	0	1	0	0	471	3	0	0	0	0	0	0	7	0	7	0	21	0
K02642	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	0	0	0	0	0	0	0	0	0
K02643	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
K02647	3	2	0	11	3	7	10	17	7	61	53	55	1	0	0	841	355	165	168	38	53	7	11	2
K02650	396	1013	724	677	392	901	452	621	352	496	811	699	374	259	646	1552	626	467	724	672	599	656	1135	782
K02651	719	883	564	602	318	680	510	598	393	949	1577	1974	322	220	312	2935	2051	1097	1118	887	770	727	1459	878
K02652	285	580	331	960	257	1062	440	794	244	2251	3154	4229	1000	889	1437	10471	3332	2378	923	824	648	490	814	554
K02653	298	692	430	817	343	933	424	664	379	1272	2597	2430	538	735	744	5302	1465	1031	1090	785	636	615	1049	681
K02654	344	681	434	702	383	913	416	634	309	1183	1874	2054	571	508	623	4422	2019	1047	865	792	710	623	1082	680
K02655	16	41	9	8	5	18	6	5	6	20	31	67	9	10	5	53	11	14	8	8	5	9	33	12
K02656	8	12	0	17	9	8	10	41	8	2	6	0	0	0	38	30	0	4	1	0	58	0	56	57
K02657	21	23	7	10	15	274	18	12	13	10	146	45	34	33	32	42	23	7	18	23	19	5	44	27
K02658	26	25	14	8	12	19	8	3	14	11	494	29	20	24	23	61	29	12	45	21	29	10	59	32
K02659	0	1	0	6	0	1	0	0	12	2	12	9	9	8	14	1	9	8	0	0	0	0	19	6
K02660	49	10	7	14	5	5	9	4	6	158	1156	55	1	18	3	245	18	42	31	8	11	7	23	8
K02662	969	1780	1237	1629	941	2514	1170	1475	1416	2720	3984	4814	1090	926	1262	8710	3383	2399	1922	2042	1817	1536	2599	1606
K02663	4	18	30	137	6	10	39	41	31	19	278	35	123	20	95	191	27	18	6	9	4	9	51	65
K02664	210	468	315	676	142	1212	324	528	439	984	1611	1761	393	329	498	3750	1068	795	575	823	757	446	865	464
K02665	13	20	2	5	1	4	4	1	0	5	5	17	14	14	28	22	10	3	3	1	1	5	30	28
K02666	2	15	21	525	31	12	148	59	70	556	2	2	508	39	5	727	34	66	12	6	5	18	11	17
K02668	28	45	101	411	142	504	183	102	54	468	32	134	294	30	433	1086	153	68	35	418	95	70	131	101
K02669	1353	2188	1876	3574	1292	3054	1589	2059	1455	4586	7283	8598	2531	1631	2600	13382	4772	3239	2870	2742	2036	1850	3249	2197
