KO	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
K18978	0	0	1	0	0	0	0	4	0	177	744	1680	1	0	0	284	14	16	3	21	57	3	0	0
K18979	1284	1257	854	1136	580	1470	1051	1216	1113	2356	2908	2970	685	356	1003	9456	3089	2023	1940	1923	2246	1160	2038	1090
K18981	618	463	249	354	107	262	339	275	181	863	495	880	192	249	237	881	1858	978	831	240	219	327	1192	587
K18982	69	39	42	54	17	35	59	52	28	9	25	34	5	11	28	69	32	31	65	122	69	26	247	114
K18983	341	335	197	275	58	231	646	753	493	1117	539	840	16	20	13	4009	717	914	1035	1225	1184	529	758	402
K18988	107	77	152	34	101	158	37	80	91	107	229	149	66	53	48	1046	611	478	127	16	21	32	168	58
K18990	1	1	2	3	3	3	6	9	6	78	40	10	38	11	1	187	33	31	2	47	31	2	4	6
K18991	5	15	0	6	1	3	6	8	28	74	91	5	23	12	10	426	150	61	94	0	0	4	80	5
K18996	999	217	125	385	69	327	284	184	211	198	96	160	89	62	40	251	710	335	264	96	88	164	854	410
K18997	24	42	67	46	15	69	73	124	32	65	79	79	60	76	105	133	83	43	140	86	45	50	123	70
K19000	0	0	0	60	1	10	1	10	1	63	21	3	0	0	0	31	32	7	4	0	1	0	0	11
K19002	66	4	5	37	25	18	6	5	13	122	38	71	2	2	6	594	254	351	292	0	4	17	74	2
K19003	297	242	157	194	37	138	269	313	108	682	709	506	160	89	44	2430	927	657	287	145	76	157	875	340
K19005	201	410	304	692	107	399	2205	2036	1070	1611	866	1069	1	0	0	7997	1137	1494	1131	2737	4975	1737	1714	743
K19032	0	0	0	0	0	0	0	0	1	0	149	2	0	0	0	0	0	0	0	0	0	0	0	0
K19033	4	4	0	0	0	22	2	0	1	0	9	13	2	1	12	21	23	8	0	0	1	6	1	0
K19046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	9	5	38	0	0	15	1	0
K19048	0	0	1	0	0	0	36	0	0	196	0	0	41	2	0	0	0	0	0	0	0	1	0	0
