Contig	11B-T1-3 Read Count	11B-T1-6 Read Count	11B-T1-9 Read Count	8-T1-3 Read Count	8-T1-6 Read Count	8-T1-9 Read Count	Ex45-T1-3 Read Count	Ex45-T1-6 Read Count	Ex45-T1-9 Read Count	HP-T1-3 Read Count	HP-T1-6 Read Count	HP-T1-9 Read Count	RC-T1-3 Read Count	RC-T1-6 Read Count	RC-T1-9 Read Count	RP-T1-3 Read Count	RP-T1-6 Read Count	RP-T1-9 Read Count	SC-T1-3 Read Count	SC-T1-6 Read Count	SC-T1-9 Read Count	UAB-T1-3 Read Count	UAB-T1-6 Read Count	UAB-T1-9 Read Count
HP-T1-3_k127_903659	2	0	1	1	0	0	1	2	4	1917	17	4	1	0	0	4	1	2	2	2	2	0	1	3
HP-T1-6_k127_110633	0	0	0	0	0	0	0	0	0	0	8365	27	0	0	0	0	0	0	5	3	1	0	0	2
HP-T1-6_k127_1184122	1	0	0	0	0	1	0	8	1	0	17278	39	0	0	0	0	0	0	37	30	33	0	0	7
HP-T1-6_k127_166964	16	10	1	3	1	2	2	0	1	161	518	747	2	2	3	493	1450	630	0	2	1	2	11	9
HP-T1-6_k127_532691	28	21	15	15	11	22	9	11	8	144	1749	881	28	20	21	98	104	37	23	11	8	11	45	22
HP-T1-6_k127_796044	23	17	13	13	17	27	12	6	11	149	2107	1117	48	23	43	70	69	22	12	4	2	2	16	7
HP-T1-6_k127_183432	0	3	0	2	0	0	0	0	0	0	40221	118	0	0	0	0	0	0	162	133	82	0	0	94
HP-T1-6_k127_294656	0	1	0	0	0	0	0	12	1	0	23906	80	0	0	0	0	0	0	98	56	35	0	11	6
HP-T1-6_k127_605466	3	3	1	1	5	3	1	2	1	80	1229	605	9	6	19	34	34	6	2	3	3	0	5	1
HP-T1-6_k127_50417	0	0	0	0	0	0	0	1	1	0	3549	7	0	0	0	0	0	0	9	3	4	0	0	1
HP-T1-6_k127_181582	1	0	2	0	0	0	0	3	7	0	29837	54	0	0	0	0	0	0	57	33	34	0	0	40
HP-T1-6_k127_816158	152	142	77	58	70	108	35	42	63	90	819	137	87	72	97	127	155	89	109	56	31	42	138	90
HP-T1-6_k127_918630	33	36	17	37	15	33	12	15	26	520	1889	1477	42	35	30	77	94	52	30	16	25	18	67	20
HP-T1-6_k127_410863	24	33	17	24	20	28	19	14	21	325	1161	972	8	8	19	40	77	63	32	26	27	22	37	24
HP-T1-6_k127_518248	0	0	0	0	0	0	0	0	0	0	924	8	0	0	0	0	0	0	0	0	0	0	0	0
HP-T1-6_k127_762727	2	9	1	1	2	1	2	2	3	7	1645	23	1	0	1	29	14	9	5	5	2	1	5	4
HP-T1-6_k127_1202427	0	0	1	0	0	0	3	2	0	17	2478	6573	0	0	4	12	0	3	3	8	7	1	1	2
HP-T1-6_k127_1153828	47	48	32	49	47	62	34	56	80	131	1487	732	32	34	64	197	82	107	55	78	72	57	79	52
HP-T1-9_k127_508949	29	9	4	10	3	9	2	1	1	225	719	1003	0	5	4	737	1907	898	2	2	1	4	22	16
HP-T1-9_k127_1145831	11	0	2	2	2	0	0	0	3	135	313	1260	6	1	3	918	4207	1462	16	2	6	3	7	1
HP-T1-9_k127_802310	13	12	1	4	12	3	1	1	0	20	2775	8030	5	3	2	33	19	16	3	3	1	4	12	6
